City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,antonina,-25.4286,-48.7119,22.89,98,91,1.22,BR,1678156077
84,porto novo,6.4965,2.6036,24.9,91,100,1.87,BJ,1678156078
85,lockport,41.5895,-88.0578,7.36,88,100,7.2,US,1678155517
86,puerto ayora,-0.7393,-90.3518,24.75,93,96,3.58,EC,1678156078
87,bengkulu,-3.8004,102.2655,26.77,73,26,1.08,ID,1678155862
88,port hardy,50.6996,-127.4199,7.0,70,40,8.75,CA,1678156079
89,saskylakh,71.9167,114.0833,-32.16,100,98,2.15,RU,1678156079
90,kulhudhuffushi,6.6221,73.07,27.39,73,69,6.16,MV,1678156079
91,sabzevar,36.2126,57.6819,14.02,31,21,2.44,IR,1678156080
92,harboore,56.6175,8.1807,0.64,95,75,5.85,DK,1678156080
93,srandakan,-7.9386,110.2506,27.64,73,13,2.09,ID,1678156080
94,glenwood springs,39.5505,-107.3248,4.51,54,0,7.72,US,1678155830
95,steinbach,50.1667,8.5667,3.35,89,75,4.63,DE,1678156081
96,pevek,69.7008,170.3133,-30.54,92,7,0.42,RU,1678156081
97,oktyabrskoye,43.0645,44.7417,0.08,93,100,2.0,RU,1678156082
98,mabama,-5.1333,32.5333,18.01,82,64,1.83,TZ,1678156082
99,mackay,-21.15,149.2,29.82,71,76,3.82,AU,1678156005
100,sao miguel do araguaia,-13.275,-50.1628,25.25,76,69,1.3,BR,1678156082
101,flin flon,54.7682,-101.865,-24.2,99,94,1.5,CA,1678156083
102,hambantota,6.1241,81.1185,26.19,94,20,3.09,LK,1678156083
103,airai,-8.9266,125.4092,21.97,64,100,1.51,TL,1678156083
104,severo-kurilsk,50.6789,156.125,0.43,93,100,3.86,RU,1678155838
105,san cristobal,7.7669,-72.225,22.1,74,89,0.74,VE,1678156084
106,carnarvon,-24.8667,113.6333,29.53,46,0,5.2,AU,1678156084
107,kemijarvi,66.7131,27.4306,-17.28,98,100,1.17,FI,1678156085
108,rawson,-43.3002,-65.1023,21.44,38,61,10.6,AR,1678156085
109,hithadhoo,-0.6,73.0833,27.54,68,0,0.85,MV,1678156085
110,sitka,57.0531,-135.33,0.94,27,0,3.09,US,1678156086
111,georgetown,5.4112,100.3354,27.96,57,20,3.09,MY,1678155871
112,constantine,36.365,6.6147,3.67,93,40,2.06,DZ,1678156087
113,ranfurly,-45.1333,170.1,20.06,51,43,1.81,NZ,1678156087
114,mahebourg,-20.4081,57.7,26.16,89,75,1.54,MU,1678156088
115,rio bueno,-40.3167,-72.9667,13.08,99,100,0.64,CL,1678156089
116,kaeo,-35.1,173.7833,20.63,72,45,2.24,NZ,1678156089
117,tsabong,-26.0217,22.401,23.2,58,1,4.82,BW,1678156089
118,bata,1.8639,9.7658,27.26,83,100,3.02,GQ,1678156090
119,salekhard,66.53,66.6019,-27.25,86,6,4.16,RU,1678156090
120,lingao,19.9103,109.6859,21.89,64,0,3.94,CN,1678156090
121,beyneu,45.3167,55.2,5.11,87,17,10.81,KZ,1678156091
122,port hedland,-20.3167,118.5667,34.03,52,9,3.09,AU,1678156091
123,gimli,50.6336,-96.9907,-16.99,60,6,4.12,CA,1678156091
124,klaksvik,62.2266,-6.589,-2.49,63,100,13.43,FO,1678156092
125,dalvik,65.9702,-18.5286,-5.04,87,100,2.89,IS,1678156092
126,talagang,32.9297,72.4158,15.71,45,0,1.01,PK,1678156092
127,daru,-9.0763,143.2092,31.06,59,21,4.3,PG,1678156093
128,labuhan,-6.8844,112.2051,27.57,74,46,1.34,ID,1678156093
129,khorixas,-20.3667,14.9667,17.01,47,27,0.3,NA,1678156094
130,chapais,49.7834,-74.8492,-10.12,90,100,5.82,CA,1678156094
131,dunedin,-45.8742,170.5036,17.93,64,75,6.72,NZ,1678156094
132,nanortalik,60.1432,-45.2371,-2.27,82,5,1.81,GL,1678156095
133,copperas cove,31.1241,-97.9031,21.51,74,0,3.09,US,1678155958
134,beni,0.5,29.4667,18.53,74,91,1.13,CD,1678156095
135,upernavik,72.7868,-56.1549,-9.77,91,65,3.26,GL,1678156096
136,hami,42.8,93.45,8.91,33,6,2.19,CN,1678156096
137,astana,51.1801,71.446,-3.03,93,100,6.0,KZ,1678156096
138,jamestown,42.097,-79.2353,0.57,100,100,3.6,US,1678156097
139,maniitsoq,65.4167,-52.9,-3.02,63,45,2.84,GL,1678156097
140,sur,22.5667,59.5289,24.7,47,2,2.64,OM,1678156097
141,batemans bay,-35.7167,150.1833,28.86,22,0,4.78,AU,1678156098
142,cairns,-16.9167,145.7667,31.7,80,77,3.6,AU,1678156098
143,bluff,-46.6,168.3333,22.11,57,81,3.02,NZ,1678156099
144,omboue,-1.5746,9.2618,25.81,86,100,2.35,GA,1678156099
145,pokhara,28.2333,83.9833,20.05,21,15,1.22,NP,1678156099
146,chongqing,29.5628,106.5528,14.57,95,100,1.0,CN,1678156100
147,port elizabeth,-33.918,25.5701,18.39,97,100,1.54,ZA,1678156100
148,constitucion,-35.3333,-72.4167,13.93,94,44,3.58,CL,1678156101
149,boende,-0.2167,20.8667,22.88,90,68,1.29,CD,1678156101
150,saint-philippe,-21.3585,55.7679,25.77,86,98,4.42,RE,1678156102
151,faanui,-16.4833,-151.75,26.25,76,100,5.85,PF,1678156102
152,kruisfontein,-34.0033,24.7314,17.16,86,100,1.68,ZA,1678156102
153,talara,-4.5772,-81.2719,25.42,88,75,2.57,PE,1678156103
154,egvekinot,66.3167,-179.1667,-21.79,86,13,2.81,RU,1678156103
155,tarata,-17.6167,-66.0167,20.68,72,100,2.18,BO,1678156103
156,thompson,55.7435,-97.8558,-22.91,70,0,2.06,CA,1678156104
157,dingle,10.9995,122.6711,25.46,72,33,6.33,PH,1678156104
158,bahia honda,22.9036,-83.1592,24.82,72,60,4.52,CU,1678156104
159,smithers,54.7804,-127.1743,-7.82,45,75,1.03,CA,1678156105
160,dagana,16.5165,-15.5068,28.44,13,100,4.42,MR,1678156105
161,huilong,31.8111,121.655,13.86,60,100,5.53,CN,1678156105
162,mount gambier,-37.8333,140.7667,18.48,49,83,7.88,AU,1678156106
163,zhigansk,66.7697,123.3711,-27.61,94,40,1.7,RU,1678156106
164,hasaki,35.7333,140.8333,16.22,54,6,1.23,JP,1678156106
165,medenychi,49.4305,23.7507,-1.51,98,100,1.12,UA,1678156107
166,sobolevo,54.4299,31.8996,-8.19,92,100,2.64,RU,1678156107
167,marawi,7.9986,124.2928,24.96,72,38,2.55,PH,1678156107
168,karratha,-20.7377,116.8463,32.63,56,3,2.4,AU,1678156108
169,port lincoln,-34.7333,135.8667,18.29,57,99,8.31,AU,1678156108
170,nome,64.5011,-165.4064,0.65,100,100,5.66,US,1678156108
171,miraflores,19.2167,-98.8083,22.79,45,96,1.84,MX,1678156109
172,barinas,8.6226,-70.2075,29.02,54,74,0.0,VE,1678156109
173,pochutla,15.7432,-96.4661,27.9,79,5,2.27,MX,1678156109
174,kodiak,57.79,-152.4072,3.73,87,0,0.0,US,1678156110
175,harper,4.375,-7.7169,26.49,87,74,3.99,LR,1678156110
176,longyearbyen,78.2186,15.6401,-23.35,85,11,3.26,SJ,1678156111
177,guerrero negro,27.9769,-114.0611,14.35,70,100,7.73,MX,1678156111
178,vao,-22.6667,167.4833,25.18,62,4,5.77,NC,1678156112
179,manturovo,58.3353,44.7619,-10.49,98,98,1.51,RU,1678156112
180,wajima,37.4,136.9,14.38,41,0,8.75,JP,1678156112
181,santa catalina,9.3337,122.8637,28.99,70,40,4.13,PH,1678156113
182,puerto escondido,15.85,-97.0667,26.46,73,0,0.0,MX,1678156113
183,kachug,53.9606,105.8817,-8.48,87,76,0.96,RU,1678156113
184,hermanus,-34.4187,19.2345,17.67,82,27,7.57,ZA,1678156114
185,sao joao da barra,-21.6403,-41.0511,25.31,86,87,8.38,BR,1678156114
186,hamilton,39.1834,-84.5333,17.07,61,40,4.12,US,1678155793
187,provideniya,64.3833,-173.3,-5.91,86,100,3.13,RU,1678156114
188,broome,42.2506,-75.833,2.61,54,100,2.06,US,1678156115
